"","x","y","ndvi86","ndvi11","class"
"666",634590,4331370,1,2,2
"667",634590,4331400,1,2,2
"668",634590,4331430,1,2,2
"669",634590,4331460,1,1,1
"670",634590,4331490,1,1,1
"671",634590,4331520,1,1,1
"672",634590,4331550,1,1,1
"673",634590,4331580,1,1,1
"674",634590,4331610,1,1,1
"675",634590,4331640,2,2,4
"676",634590,4331670,2,2,4
"677",634590,4331700,2,2,4
"678",634590,4331730,2,2,4
"679",634590,4331760,2,2,4
"680",634590,4331790,2,2,4
"681",634590,4331820,2,2,4
"682",634590,4331850,2,2,4
"683",634590,4331880,2,2,4
"684",634590,4331910,2,2,4
"685",634590,4331940,1,2,2
"686",634590,4331970,1,1,1
"687",634590,4332000,1,1,1
"688",634590,4332030,1,1,1
"689",634590,4332060,1,1,1
"690",634620,4330320,2,2,4
"691",634620,4330350,2,2,4
"692",634620,4330380,2,2,4
"693",634620,4330410,2,2,4
"694",634620,4330440,2,2,4
"695",634620,4330470,1,2,2
"696",634620,4330500,1,1,1
"697",634620,4330530,1,1,1
"698",634620,4330560,1,2,2
"699",634620,4330590,2,2,4
"700",634620,4330620,2,2,4
"701",634620,4330650,2,2,4
"702",634620,4330680,1,2,2
"703",634620,4330710,1,1,1
"704",634620,4330740,1,2,2
"705",634620,4330770,2,2,4
"706",634620,4330800,2,2,4
"707",634620,4330830,2,2,4
"708",634620,4330860,2,2,4
"709",634620,4330890,2,2,4
"710",634620,4330920,2,1,3
"711",634620,4330950,1,1,1
"712",634620,4330980,1,1,1
"713",634620,4331010,1,1,1
"714",634620,4331040,1,1,1
"715",634620,4331070,2,1,3
"716",634620,4331100,1,1,1
"717",634620,4331130,1,1,1
"718",634620,4331160,1,1,1
"719",634620,4331190,1,1,1
"720",634620,4331220,1,1,1
"721",634620,4331250,1,1,1
"722",634620,4331280,1,1,1
"723",634620,4331310,1,1,1
"724",634620,4331340,1,1,1
"725",634620,4331370,1,2,2
"726",634620,4331400,1,1,1
"727",634620,4331430,1,1,1
"728",634620,4331460,1,1,1
"729",634620,4331490,1,1,1
"730",634620,4331520,1,1,1
"731",634620,4331550,1,1,1
"732",634620,4331580,1,1,1
"733",634620,4331610,1,1,1
"734",634620,4331640,1,2,2
"735",634620,4331670,2,2,4
"736",634620,4331700,2,2,4
"737",634620,4331730,2,2,4
"738",634620,4331760,2,2,4
"739",634620,4331790,2,2,4
"740",634620,4331820,2,2,4
"741",634620,4331850,2,2,4
"742",634620,4331880,1,2,2
"743",634620,4331910,1,2,2
"744",634620,4331940,1,1,1
"745",634620,4331970,1,1,1
"746",634620,4332000,1,1,1
"747",634620,4332030,1,1,1
"748",634620,4332060,1,1,1
"749",634650,4330320,2,2,4
"750",634650,4330350,2,2,4
"751",634650,4330380,2,2,4
"752",634650,4330410,2,2,4
"753",634650,4330440,2,2,4
"754",634650,4330470,2,2,4
"755",634650,4330500,2,2,4
"756",634650,4330530,2,2,4
"757",634650,4330560,2,2,4
"758",634650,4330590,2,2,4
"759",634650,4330620,2,2,4
"760",634650,4330650,2,2,4
"761",634650,4330680,1,1,1
"762",634650,4330710,1,1,1
"763",634650,4330740,2,2,4
"764",634650,4330770,2,2,4
"765",634650,4330800,2,2,4
"766",634650,4330830,2,2,4
"767",634650,4330860,2,2,4
"768",634650,4330890,2,2,4
"769",634650,4330920,2,2,4
"770",634650,4330950,2,2,4
"771",634650,4330980,1,2,2
"772",634650,4331010,2,2,4
"773",634650,4331040,2,2,4
"774",634650,4331070,1,1,1
"775",634650,4331100,1,1,1
"776",634650,4331130,1,1,1
"777",634650,4331160,1,1,1
"778",634650,4331190,1,1,1
"779",634650,4331220,1,1,1
"780",634650,4331250,1,1,1
"781",634650,4331280,1,1,1
"782",634650,4331310,1,1,1
"783",634650,4331340,1,1,1
"784",634650,4331370,1,1,1
"785",634650,4331400,1,1,1
"786",634650,4331430,1,1,1
"787",634650,4331460,1,1,1
"788",634650,4331490,1,1,1
"789",634650,4331520,1,2,2
"790",634650,4331550,1,2,2
"791",634650,4331580,1,1,1
"792",634650,4331610,1,2,2
"793",634650,4331640,1,2,2
"794",634650,4331670,2,2,4
"795",634650,4331700,2,2,4
"796",634650,4331730,2,2,4
"797",634650,4331760,2,2,4
"798",634650,4331790,2,2,4
"799",634650,4331820,2,2,4
"800",634650,4331850,2,2,4
"801",634650,4331880,1,2,2
"802",634650,4331910,1,2,2
"803",634650,4331940,1,2,2
"804",634650,4331970,1,1,1
"805",634650,4332000,1,1,1
