Rowid_,WEIMER_DIS7,X,Y,WEIMER_DIS7_1
,976,636150.000000000000000,4332030.000000000000000,975.807373046875000
,997,636180.000000000000000,4332030.000000000000000,997.246215820312500
,1018,636210.000000000000000,4332030.000000000000000,1018.233764648437500
,1040,636240.000000000000000,4332030.000000000000000,1039.663452148437500
,1062,636270.000000000000000,4332030.000000000000000,1061.508300781250000
,1084,636300.000000000000000,4332030.000000000000000,1083.743530273437500
,1106,636330.000000000000000,4332030.000000000000000,1106.345336914062500
,1129,636360.000000000000000,4332030.000000000000000,1129.291870117187500
,301,633930.000000000000000,4332000.000000000000000,301.496276855468750
,272,633960.000000000000000,4332000.000000000000000,271.661560058593750
,242,633990.000000000000000,4332000.000000000000000,241.867736816406250
,212,634020.000000000000000,4332000.000000000000000,212.132034301757810
,182,634050.000000000000000,4332000.000000000000000,182.482879638671870
,153,634080.000000000000000,4332000.000000000000000,152.970581054687500
,124,634110.000000000000000,4332000.000000000000000,123.693168640136720
,95,634140.000000000000000,4332000.000000000000000,94.868331909179688
,67,634170.000000000000000,4332000.000000000000000,67.082038879394531
,42,634200.000000000000000,4332000.000000000000000,42.426406860351562
,30,634230.000000000000000,4332000.000000000000000,30.000000000000000
,0,634260.000000000000000,4332000.000000000000000,0.000000000000000
,30,634290.000000000000000,4332000.000000000000000,30.000000000000000
,30,634320.000000000000000,4332000.000000000000000,30.000000000000000
,30,634350.000000000000000,4332000.000000000000000,30.000000000000000
,42,634380.000000000000000,4332000.000000000000000,42.426406860351562
,67,634410.000000000000000,4332000.000000000000000,67.082038879394531
,85,634440.000000000000000,4332000.000000000000000,84.852813720703125
,108,634470.000000000000000,4332000.000000000000000,108.166542053222660
,127,634500.000000000000000,4332000.000000000000000,127.279220581054690
,150,634530.000000000000000,4332000.000000000000000,150.000000000000000
,170,634560.000000000000000,4332000.000000000000000,169.705627441406250
,192,634590.000000000000000,4332000.000000000000000,192.093734741210940
,216,634620.000000000000000,4332000.000000000000000,216.333084106445310
,242,634650.000000000000000,4332000.000000000000000,241.867736816406250
,247,634680.000000000000000,4332000.000000000000000,247.386337280273440
,256,634710.000000000000000,4332000.000000000000000,256.320098876953120
,268,634740.000000000000000,4332000.000000000000000,268.328155517578130
,283,634770.000000000000000,4332000.000000000000000,283.019439697265620
,300,634800.000000000000000,4332000.000000000000000,300.000000000000000
,319,634830.000000000000000,4332000.000000000000000,318.904388427734370
,339,634860.000000000000000,4332000.000000000000000,339.411254882812500
,361,634890.000000000000000,4332000.000000000000000,361.247833251953120
,382,634920.000000000000000,4332000.000000000000000,381.837677001953120
,404,634950.000000000000000,4332000.000000000000000,403.608734130859370
,400,634980.000000000000000,4332000.000000000000000,400.249908447265620
,395,635010.000000000000000,4332000.000000000000000,394.588378906250000
,391,635040.000000000000000,4332000.000000000000000,391.152130126953120
,390,635070.000000000000000,4332000.000000000000000,390.000000000000000
,391,635100.000000000000000,4332000.000000000000000,391.152130126953120
