OBJECTID,iso1986_ndvi_tif,X,Y,iso1986_ndvi
677,1,634380,4331670,1
678,1,634410,4331670,1
679,1,634440,4331670,1
680,1,634470,4331670,1
681,1,634500,4331670,1
682,2,634530,4331670,2
683,2,634560,4331670,2
684,2,634590,4331670,2
685,2,634620,4331670,2
686,2,634650,4331670,2
687,2,634680,4331670,2
688,2,634710,4331670,2
689,2,634740,4331670,2
690,2,634770,4331670,2
691,2,634800,4331670,2
692,2,634830,4331670,2
693,2,634860,4331670,2
694,2,634890,4331670,2
695,1,634920,4331670,1
696,1,634950,4331670,1
697,1,634980,4331670,1
698,1,635010,4331670,1
699,1,635040,4331670,1
700,1,635070,4331670,1
701,1,635100,4331670,1
702,1,635130,4331670,1
703,1,635160,4331670,1
704,1,635190,4331670,1
705,2,635220,4331670,2
706,2,635250,4331670,2
707,2,635280,4331670,2
708,1,635310,4331670,1
709,1,635340,4331670,1
710,1,635370,4331670,1
711,1,635400,4331670,1
712,1,635430,4331670,1
713,1,635460,4331670,1
714,1,635490,4331670,1
715,1,635520,4331670,1
716,1,635550,4331670,1
717,1,635580,4331670,1
718,1,635610,4331670,1
719,1,635640,4331670,1
720,1,635670,4331670,1
721,1,635700,4331670,1
722,1,635730,4331670,1
723,1,635760,4331670,1
724,1,635790,4331670,1
725,1,635820,4331670,1
726,1,635850,4331670,1
727,1,635880,4331670,1
728,1,635910,4331670,1
729,1,635940,4331670,1
730,1,635970,4331670,1
731,1,636000,4331670,1
732,1,636030,4331670,1
733,1,633990,4331640,1
734,1,634020,4331640,1
735,2,634050,4331640,2
736,2,634080,4331640,2
737,2,634110,4331640,2
738,1,634140,4331640,1
739,1,634170,4331640,1
740,1,634200,4331640,1
741,1,634230,4331640,1
742,1,634260,4331640,1
743,1,634290,4331640,1
744,2,634320,4331640,2
745,2,634350,4331640,2
746,1,634380,4331640,1
747,1,634410,4331640,1
748,1,634440,4331640,1
749,1,634470,4331640,1
750,1,634500,4331640,1
751,1,634530,4331640,1
752,1,634560,4331640,1
753,2,634590,4331640,2
754,1,634620,4331640,1
755,1,634650,4331640,1
756,2,634680,4331640,2
757,2,634710,4331640,2
758,2,634740,4331640,2
759,2,634770,4331640,2
760,2,634800,4331640,2
761,2,634830,4331640,2
762,2,634860,4331640,2
763,2,634890,4331640,2
764,1,634920,4331640,1
765,1,634950,4331640,1
766,1,634980,4331640,1
767,1,635010,4331640,1
768,1,635040,4331640,1
769,1,635070,4331640,1
770,1,635100,4331640,1
771,2,635130,4331640,2
772,2,635160,4331640,2
773,2,635190,4331640,2
774,2,635220,4331640,2
775,2,635250,4331640,2
776,1,635280,4331640,1
777,1,635310,4331640,1
778,1,635340,4331640,1
779,1,635370,4331640,1
780,1,635400,4331640,1
781,1,635430,4331640,1
782,1,635460,4331640,1
783,1,635490,4331640,1
784,1,635520,4331640,1
785,1,635550,4331640,1
786,1,635580,4331640,1
787,1,635610,4331640,1
788,2,635640,4331640,2
789,1,635670,4331640,1
790,1,635700,4331640,1
791,1,635730,4331640,1
792,1,635760,4331640,1
793,1,635790,4331640,1
794,1,635820,4331640,1
795,1,635850,4331640,1
796,1,635880,4331640,1
797,1,635910,4331640,1
798,1,635940,4331640,1
799,1,635970,4331640,1
800,1,636000,4331640,1
801,1,636030,4331640,1
802,1,633990,4331610,1
803,1,634020,4331610,1
804,2,634050,4331610,2
805,2,634080,4331610,2
806,2,634110,4331610,2
807,1,634140,4331610,1
808,1,634170,4331610,1
809,1,634200,4331610,1
810,1,634230,4331610,1
811,1,634260,4331610,1
812,1,634290,4331610,1
813,1,634320,4331610,1
814,1,634350,4331610,1
815,1,634380,4331610,1
816,1,634410,4331610,1
817,1,634440,4331610,1
818,1,634470,4331610,1
819,1,634500,4331610,1
820,1,634530,4331610,1
821,1,634560,4331610,1
822,1,634590,4331610,1
823,1,634620,4331610,1
824,1,634650,4331610,1
825,2,634680,4331610,2
826,2,634710,4331610,2
827,2,634740,4331610,2
828,2,634770,4331610,2
829,2,634800,4331610,2
830,2,634830,4331610,2
831,2,634860,4331610,2
832,2,634890,4331610,2
833,2,634920,4331610,2
834,1,634950,4331610,1
835,1,634980,4331610,1
836,2,635010,4331610,2
837,2,635040,4331610,2
838,2,635070,4331610,2
839,2,635100,4331610,2
840,2,635130,4331610,2
841,2,635160,4331610,2
842,1,635190,4331610,1
843,2,635220,4331610,2
844,1,635250,4331610,1
845,1,635280,4331610,1
