OBJECTID,Rowid_,GREEN_1986,X,Y,GREEN_1986_1987,RASTERVALU
2359,,0,635940.000000000000000,4330920.000000000000000,-0.011414535343647,1
2360,,0,635970.000000000000000,4330920.000000000000000,-0.018382588401437,1
2361,,0,636000.000000000000000,4330920.000000000000000,-0.009607795625925,1
2362,,0,636030.000000000000000,4330920.000000000000000,-0.000824563205242,1
2363,,0,636060.000000000000000,4330920.000000000000000,-0.004973392933607,1
2364,,0,636090.000000000000000,4330920.000000000000000,-0.004513215273619,1
2365,,0,636120.000000000000000,4330920.000000000000000,-0.014463363215327,1
2366,,0,636150.000000000000000,4330920.000000000000000,-0.018791519105434,1
2367,,0,636180.000000000000000,4330920.000000000000000,-0.007561473175883,1
2368,,0,636210.000000000000000,4330920.000000000000000,0.005050171166658,2
2369,,0,636240.000000000000000,4330920.000000000000000,0.004235032945871,2
2370,,0,636270.000000000000000,4330920.000000000000000,-0.002430222928524,1
2371,,0,636300.000000000000000,4330920.000000000000000,-0.010342709720135,1
2372,,0,636330.000000000000000,4330920.000000000000000,-0.014532189816236,1
2373,,0,634560.000000000000000,4330890.000000000000000,-0.011223036795855,1
2374,,0,634590.000000000000000,4330890.000000000000000,-0.003984207287431,1
2375,,0,634620.000000000000000,4330890.000000000000000,0.008283607661724,2
2376,,0,634650.000000000000000,4330890.000000000000000,0.039051245898008,2
2377,,0,634680.000000000000000,4330890.000000000000000,0.041223101317883,2
2378,,0,634710.000000000000000,4330890.000000000000000,0.030088851228356,2
2379,,0,634740.000000000000000,4330890.000000000000000,0.050313398241997,2
2380,,0,634770.000000000000000,4330890.000000000000000,0.038823287934065,2
2381,,0,634800.000000000000000,4330890.000000000000000,0.018060935661197,2
2382,,0,634830.000000000000000,4330890.000000000000000,0.010200832039118,2
2383,,0,634860.000000000000000,4330890.000000000000000,0.000015834346414,1
2384,,0,634890.000000000000000,4330890.000000000000000,-0.002513123676181,1
2385,,0,634920.000000000000000,4330890.000000000000000,-0.011653421446681,1
2386,,0,634950.000000000000000,4330890.000000000000000,-0.012482921592891,1
2387,,0,634980.000000000000000,4330890.000000000000000,-0.017386283725500,1
2388,,0,635010.000000000000000,4330890.000000000000000,-0.019610431045294,1
2389,,0,635040.000000000000000,4330890.000000000000000,-0.015087042003870,1
2390,,0,635070.000000000000000,4330890.000000000000000,-0.017004776746035,1
2391,,0,635100.000000000000000,4330890.000000000000000,-0.012737683951855,1
2392,,0,635130.000000000000000,4330890.000000000000000,-0.006558040156960,1
2393,,0,635160.000000000000000,4330890.000000000000000,-0.010595684871078,1
2394,,0,635190.000000000000000,4330890.000000000000000,-0.010138936340809,1
2395,,0,635220.000000000000000,4330890.000000000000000,-0.002258619293571,1
2396,,0,635250.000000000000000,4330890.000000000000000,0.010227812454104,2
2397,,0,635280.000000000000000,4330890.000000000000000,0.006499826908112,2
2398,,0,635310.000000000000000,4330890.000000000000000,-0.010363036766648,1
2399,,0,635340.000000000000000,4330890.000000000000000,-0.015228791162372,1
2400,,0,635370.000000000000000,4330890.000000000000000,-0.014423922635615,1
2401,,0,635400.000000000000000,4330890.000000000000000,-0.014782285317779,1
2402,,0,635430.000000000000000,4330890.000000000000000,-0.013371746987104,1
2403,,0,635460.000000000000000,4330890.000000000000000,-0.014997279271483,1
